"municipality","party","year","support"
41,4,2011,0.37909972115
42,4,1971,0.61921986509
42,4,1975,0.53634033829
42,4,1979,0.48425129088
42,4,1983,0.39946703344
42,4,1987,0.43255774019
42,4,1991,0.3855398333
42,4,1995,0.39307215775
42,4,1999,0.41041317424
42,4,2003,0.35931046867
42,4,2007,0.35684194102
42,4,2011,0.36308965948
43,4,1971,0.75406871609
43,4,1975,0.74286772879
43,4,1979,0.70349206349
43,4,1983,0.69021190716
43,4,1987,0.59689922481
43,4,1991,0.51019313305
43,4,1995,0.5771240033
43,4,1999,0.61422044546
43,4,2003,0.60683760684
43,4,2007,0.60481099656
43,4,2011,0.5098274209
44,4,1971,0.79607535322
44,4,1975,0.63867805187
44,4,1979,0.67643062056
44,4,1983,0.57365173061
44,4,1987,0.60705467372
44,4,1991,0.52812914107
44,4,1995,0.54107119006
44,4,1999,0.57042848521
44,4,2003,0.50635636662
44,4,2007,0.51596775839
44,4,2011,0.47761342202
51,4,1971,0.23790857556
51,3,1975,0.25882932705
51,3,1979,0.29291355504
51,3,1983,0.26433193068
51,4,1987,0.24078560305
51,4,1991,0.26497044462
51,4,1995,0.29740579272
51,4,1999,0.36716317113
51,4,2003,0.37855928217
51,4,2007,0.37904137152
51,4,2011,0.34598325837
52,8,1971,0.214612481418
52,3,1975,0.2380942275
52,3,1979,0.26933854122
52,1,1983,0.2294349341
52,1,1987,0.19814269265
52,4,1991,0.21778616312
52,3,1995,0.25094517958
52,4,1999,0.31040733632
52,4,2003,0.35083678387
52,4,2007,0.37169056456
52,4,2011,0.3195491953
53,8,1971,0.196058036882
53,3,1975,0.21186350778
53,3,1979,0.264913173
53,3,1983,0.23631732169
53,4,1987,0.21016499793
53,4,1991,0.21343043788
53,4,1995,0.28092416113
53,4,1999,0.3810210686
53,4,2003,0.37964632896
53,4,2007,0.38273498106
53,4,2011,0.34289990889
54,8,1971,0.228747709507
54,3,1975,0.26249210897
54,1,1979,0.28599120609
54,1,1983,0.29086268504
54,1,1987,0.26559226149
54,1,1991,0.23947312738
54,1,1995,0.236483438905
